latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),apparent_temperature (°C),wind_speed_10m (km/h)
2021-10-03T00:00,15.5,69,0.00,12.2,22.3
2021-10-03T01:00,15.2,66,0.00,11.7,21.9
2021-10-03T02:00,14.4,65,0.00,10.9,20.3
2021-10-03T03:00,14.9,61,0.00,11.2,21.0
2021-10-03T04:00,15.1,60,0.00,11.3,22.0
2021-10-03T05:00,15.2,60,0.00,11.2,22.8
2021-10-03T06:00,15.1,61,0.00,11.1,22.8
2021-10-03T07:00,15.5,61,0.00,12.0,20.8
2021-10-03T08:00,16.0,62,0.00,12.9,19.1
2021-10-03T09:00,16.8,62,0.00,13.8,19.0
2021-10-03T10:00,17.2,63,0.00,14.4,19.5
2021-10-03T11:00,20.6,55,0.00,18.1,20.5
2021-10-03T12:00,18.8,64,0.00,17.0,16.3
2021-10-03T13:00,21.5,57,0.00,19.4,19.6
2021-10-03T14:00,21.8,56,0.00,19.6,21.1
2021-10-03T15:00,21.2,57,0.00,18.8,22.2
2021-10-03T16:00,20.5,57,0.00,17.9,21.6
2021-10-03T17:00,19.7,58,0.00,17.2,19.3
2021-10-03T18:00,19.2,59,0.00,17.0,16.9
2021-10-03T19:00,18.6,60,0.00,16.5,16.9
2021-10-03T20:00,18.0,63,0.00,15.7,17.2
2021-10-03T21:00,17.5,65,0.00,15.6,15.2
2021-10-03T22:00,17.4,66,0.00,15.9,12.4
2021-10-03T23:00,16.9,72,0.10,15.8,10.6
