place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
7,7,6,"KIPKOECH, Hillary (KEN)",–,10,18-39,Elite,01:01:55,02:06:05,2025,mass
–,–,–,"KIPLAGAT, Timothy (KEN)",–,5,18-39,Elite,01:01:31,–,2025,mass
2,2,2,"KIPLIMO, Jacob (UGA)",–,38,18-39,Elite,01:01:31,02:03:37,2025,mass
17,17,16,"LAGUERA, Marcelo (MEX)",–,25,18-39,Elite,01:04:19,02:12:03,2025,mass
–,–,–,"LEPRETRE, Alexander (GBR)",–,29,18-39,Elite,01:07:10,–,2025,mass
12,12,11,"LIPSCHITZ, Adam (RSA)",–,18,18-39,Elite,01:04:18,02:09:48,2025,mass
9,9,8,"MAHAMED, Mahamed (GBR)",–,15,18-39,Elite,01:03:43,02:08:52,2025,mass
34,8,7,"MCCOLGAN, Eilish (GBR)",–,115,18-39,Elite,01:10:44,02:24:25,2025,mass
–,–,–,"MELLOR, Jonathan (GBR)",–,19,18-39,Elite,01:04:19,–,2025,mass
10,10,9,"MENGESHA, Milkesa (ETH)",–,6,18-39,Elite,01:01:30,02:09:01,2025,mass
19,19,18,"MILNE, Alex (GBR)",–,34,18-39,Elite,01:07:09,02:14:03,2025,mass
13,13,12,"MOEN, Sondre Norstad (NOR)",–,12,18-39,Elite,01:03:43,02:09:57,2025,mass
3,3,3,"MUNYAO, Alexander Mutiso (KEN)",–,1,18-39,Elite,01:01:30,02:04:20,2025,mass
40,30,29,"MYCROFT, William (GBR)",–,32,18-39,Elite,01:07:08,02:30:11,2025,mass
4,4,4,"NAGEEYE, Abdi (NED)",–,9,18-39,Elite,01:01:31,02:04:20,2025,mass
8,8,7,"PETROS, Amanal (GER)",–,11,18-39,Elite,01:01:30,02:06:30,2025,mass
–,–,–,"PURDUE, Charlotte (GBR)",–,110,18-39,Elite,01:38:27,–,2025,mass
–,–,–,"ROWE, Jack (GBR)",–,42,18-39,Elite,01:04:19,–,2025,mass
18,18,17,"SALVANO, Kevin (USA)",–,23,18-39,Elite,01:04:41,02:13:03,2025,mass
1,1,1,"SAWE, Sabastian (KEN)",–,4,18-39,Elite,01:01:30,02:02:27,2025,mass
20,20,19,"SESEMANN, Philip (GBR)",–,17,18-39,Elite,01:03:44,02:14:46,2025,mass
–,–,–,"SIMONSEN, Jacob Sommer (DEN)",–,16,18-39,Elite,–,–,2025,mass
16,16,15,"SMITH, Jake (GBR)",–,22,18-39,Elite,01:04:41,02:11:57,2025,mass
22,22,21,"SMITH, Logan (GBR)",–,31,18-39,Elite,01:06:24,02:15:23,2025,mass
38,10,9,"SULLIVAN, Susanna (USA)",–,109,18-39,Elite,01:11:56,02:29:30,2025,mass
